,"The date range of the seasonal run. Winter and Late-fall will have a range by month and year. Spring and Fall will be a full, singular year.",The simplified year of the seasonal run. The ending year of the Winter and Late-fall runs is the simplified year.,"Fall, Winter, Spring and Late-Fall runs.
The Feather River Survey does not provide separate estimates for fall and spring escapement.  Spring-run estimates are included with fall-run estimates.
","The river system can either be 1) Sacramento River, 2) San Joaquin River, or 3) Central Valley. The Central Valley River System is a combination of both the Sacramento and San Joaquin River Systems.","This field only applies to Fall-run counts in the Sacramento River System. There are three reaches: 1) Keswick Dam to Red Bluff Diversion Dam (RBDD), 2) RBDD to Princeton Ferry, and 3) Princeton Ferry to Sacramento. ","Angler Harvest, Carcass, Hatchery, In-River Count, Snorkel, or Transfer.  When available, the carcass survey estimate is used instead of the snorkel survey estimate.  Hatchery estimates account for fish returning to a hatchery. Transfer estimates account for fish that are captured and transferred to a specified hatchery. In-River Count estimates fish escapements within the specified river, although the data collection type is not provided. ","The location of where the estimate or count was taken. In the Sacramento River Main Stem, the escapement estimate may include numbers of fish for tributaries where estimates were not made.",The location of the associated hatchery where either the estimate was taken or fish were transferred. ,The origin of fish that were transferred to a hatchery.,"When available, the specific location along the river is provided. ",The estimated quantity of Chinook escapement. 
Chinook,Dec 2003 - Aug 2004,2004,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Livingston Stone Hatchery,Keswick Dam or RBDD,,85
Chinook,2005,2005,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"49,160"
Chinook,2005,2005,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"62,679"
Chinook,2005,2005,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,0
Chinook,2005,2005,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"142,673"
Chinook,2005,2005,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"20,520"
Chinook,2005,2005,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,370
Chinook,2005,2005,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,421
Chinook,2005,2005,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,668
Chinook,2005,2005,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,963
Chinook,2005,2005,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"1,427"
Chinook,2005,2005,Fall,San Joaquin River,,In-River Count,Merced River,,,,"1,942"
Chinook,2005,2005,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"2,426"
Chinook,2005,2005,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,"4,255"
Chinook,2005,2005,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"5,563"
Chinook,2005,2005,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"10,406"
Chinook,2005,2005,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"12,062"
Chinook,2005,2005,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"14,824"
Chinook,2005,2005,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"17,630"
Chinook,2005,2005,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"22,349"
Chinook,2005,2005,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"22,405"
Chinook,2005,2005,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"44,950"
Chinook,Nov 2004 - Apr 2005,2005,Late-Fall,Sacramento River,,In-River Count,Battle Creek,,,Upstream of CNFH,23
Chinook,Nov 2004 - Apr 2005,2005,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"5,562"
Chinook,Nov 2004 - Apr 2005,2005,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"9,493"
Chinook,Nov 2004 - Apr 2005,2005,Late-Fall,Sacramento River,,In-River Count,Clear Creek,,,,94
Chinook,Nov 2004 - Apr 2005,2005,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"1,031"
Chinook,Nov 2004 - Apr 2005,2005,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,79
Chinook,2005,2005,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,774"
Chinook,2005,2005,Spring,Central Valley,,Carcass,Butte Creek,,,,"17,592"
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Battle Creek,,,,73
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,0
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,30
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,37
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,47
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Clear Creek,,,,69
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Antelope Creek,,,,82
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,150"
Chinook,2005,2005,Spring,Central Valley,,In-River Count,Deer Creek,,,,"2,239"
Chinook,Dec 2004 - Aug 2005,2005,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,Dec 2004 - Aug 2005,2005,Winter,Sacramento River,,In-River Count,Battle Creek,,,,0
Chinook,Dec 2004 - Aug 2005,2005,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"15,730"
Chinook,Dec 2004 - Aug 2005,2005,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Livingston Stone Hatchery,Keswick Dam or RBDD,,109
Chinook,2006,2006,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"76,414"
Chinook,2006,2006,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"24,540"
Chinook,2006,2006,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,0
Chinook,2006,2006,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"57,832"
Chinook,2006,2006,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"19,493"
Chinook,2006,2006,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,150
Chinook,2006,2006,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,530
Chinook,2006,2006,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,562
Chinook,2006,2006,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,"1,403"
Chinook,2006,2006,Fall,San Joaquin River,,In-River Count,Merced River,,,,"1,429"
Chinook,2006,2006,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,"1,732"
Chinook,2006,2006,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,"1,905"
Chinook,2006,2006,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,"1,920"
Chinook,2006,2006,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,"1,923"
Chinook,2006,2006,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"4,139"
Chinook,2006,2006,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"4,209"
Chinook,2006,2006,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"8,121"
Chinook,2006,2006,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"8,422"
Chinook,2006,2006,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"8,728"
Chinook,2006,2006,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"8,900"
Chinook,2006,2006,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"14,034"
Chinook,2006,2006,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"46,568"
Chinook,Nov 2005 - Apr 2006,2006,Late-Fall,Sacramento River,,In-River Count,Battle Creek,,,Upstream of CNFH,50
Chinook,Nov 2005 - Apr 2006,2006,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"4,822"
Chinook,Nov 2005 - Apr 2006,2006,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"7,678"
Chinook,Nov 2005 - Apr 2006,2006,Late-Fall,Sacramento River,,In-River Count,Clear Creek,,,,42
Chinook,Nov 2005 - Apr 2006,2006,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"2,485"
Chinook,Nov 2005 - Apr 2006,2006,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,12
Chinook,2006,2006,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"2,181"
Chinook,2006,2006,Spring,Central Valley,,Carcass,Butte Creek,,,,"6,537"
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Battle Creek,,,,221
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,0
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,55
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Clear Creek,,,,77
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Antelope Creek,,,,102
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,299
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,002"
Chinook,2006,2006,Spring,Central Valley,,In-River Count,Deer Creek,,,,"2,432"
Chinook,Dec 2005 - Aug 2006,2006,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,48
Chinook,Dec 2005 - Aug 2006,2006,Winter,Sacramento River,,In-River Count,Battle Creek,,,,6
Chinook,Dec 2005 - Aug 2006,2006,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"17,149"
Chinook,Dec 2005 - Aug 2006,2006,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,0
Chinook,Dec 2005 - Aug 2006,2006,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Livingston Stone Hatchery,Keswick Dam or RBDD,,93
Chinook,2007,2007,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"21,909"
Chinook,2007,2007,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"10,120"
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,0
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"11,744"
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"9,904"
Chinook,2007,2007,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,77
Chinook,2007,2007,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,79
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,140
Chinook,2007,2007,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,224
Chinook,2007,2007,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,443
Chinook,2007,2007,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,470
Chinook,2007,2007,Fall,San Joaquin River,,In-River Count,Merced River,,,,485
Chinook,2007,2007,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,563
Chinook,2007,2007,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,851
Chinook,2007,2007,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"1,051"
Chinook,2007,2007,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,"1,225"
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,250"
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"2,044"
Chinook,2007,2007,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"2,604"
Chinook,2007,2007,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"2,964"
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"4,157"
Chinook,2007,2007,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"4,597"
Chinook,2007,2007,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"6,170"
Chinook,2007,2007,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"14,097"
Chinook,Nov 2006 - Apr 2007,2007,Late-Fall,Sacramento River,,In-River Count,Battle Creek,,,Upstream of CNFH,72
Chinook,Nov 2006 - Apr 2007,2007,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,361"
Chinook,Nov 2006 - Apr 2007,2007,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"13,798"
Chinook,Nov 2006 - Apr 2007,2007,Late-Fall,Sacramento River,,In-River Count,Clear Creek,,,,69
Chinook,Nov 2006 - Apr 2007,2007,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,"1,477"
Chinook,Nov 2006 - Apr 2007,2007,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,66
Chinook,2007,2007,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,916"
Chinook,2007,2007,Spring,Central Valley,,Carcass,Butte Creek,,,,"6,871"
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Battle Creek,,,,291
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,0
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Antelope Creek,,,,26
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,34
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Clear Creek,,,,194
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,248
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Deer Creek,,,,644
Chinook,2007,2007,Spring,Central Valley,,In-River Count,Mill Creek,,,,920
Chinook,Dec 2006 - Aug 2007,2007,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,Dec 2006 - Aug 2007,2007,Winter,Sacramento River,,In-River Count,Battle Creek,,,,0
Chinook,Dec 2006 - Aug 2007,2007,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"2,487"
Chinook,Dec 2006 - Aug 2007,2007,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,0
Chinook,Dec 2006 - Aug 2007,2007,Winter,San Joaquin River,,In-River Count,Calaveras River,,,,0
Chinook,Dec 2006 - Aug 2007,2007,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Livingston Stone Hatchery,Keswick Dam or RBDD,,54
Chinook,2008,2008,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"5,939"
Chinook,2008,2008,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"2,514"
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,0
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"10,639"
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"4,286"
Chinook,2008,2008,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,15
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,19
Chinook,2008,2008,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,76
Chinook,2008,2008,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,173
Chinook,2008,2008,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,194
Chinook,2008,2008,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,218
Chinook,2008,2008,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,239
Chinook,2008,2008,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,275
Chinook,2008,2008,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,388
Chinook,2008,2008,Fall,San Joaquin River,,In-River Count,Merced River,,,,389
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,478
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,510
Chinook,2008,2008,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,865
Chinook,2008,2008,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,"1,609"
Chinook,2008,2008,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"3,232"
Chinook,2008,2008,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"3,508"
Chinook,2008,2008,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"4,914"
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"7,677"
Chinook,2008,2008,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"23,134"
Chinook,Nov 2007 - Apr 2008,2008,Late-Fall,Sacramento River,,In-River Count,Battle Creek,,,Upstream of CNFH,19
Chinook,Nov 2007 - Apr 2008,2008,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"6,334"
Chinook,Nov 2007 - Apr 2008,2008,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"3,673"
Chinook,Nov 2007 - Apr 2008,2008,Late-Fall,Sacramento River,,In-River Count,Clear Creek,,,,55
Chinook,Nov 2007 - Apr 2008,2008,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,291
Chinook,Nov 2007 - Apr 2008,2008,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,0
Chinook,2008,2008,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,"1,460"
Chinook,2008,2008,Spring,Central Valley,,Carcass,Butte Creek,,,,"11,046"
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Battle Creek,,,,105
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,0
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,0
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,0
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Antelope Creek,,,,3
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,52
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Deer Creek,,,,140
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Clear Creek,,,,200
Chinook,2008,2008,Spring,Central Valley,,In-River Count,Mill Creek,,,,381
Chinook,Dec 2007 - Aug 2008,2008,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,Dec 2007 - Aug 2008,2008,Winter,Sacramento River,,In-River Count,Battle Creek,,,,0
Chinook,Dec 2007 - Aug 2008,2008,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"2,725"
Chinook,Dec 2007 - Aug 2008,2008,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,,0
Chinook,Dec 2007 - Aug 2008,2008,Winter,San Joaquin River,,In-River Count,Calaveras River,,,,0
Chinook,Dec 2007 - Aug 2008,2008,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Livingston Stone Hatchery,Keswick Dam or RBDD,,105
Chinook,2009,2009,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"4,847"
Chinook,2009,2009,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"5,297"
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,0
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"6,152"
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"3,047"
Chinook,2009,2009,Fall,San Joaquin River,,In-River Count,Cosumnes River,,,,0
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,6
Chinook,2009,2009,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,58
Chinook,2009,2009,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,102
Chinook,2009,2009,Fall,San Joaquin River,,In-River Count,Tuolumne River,,,,124
Chinook,2009,2009,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,246
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,261
Chinook,2009,2009,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Butte Creek,,,,306
Chinook,2009,2009,Fall,San Joaquin River,,In-River Count,Merced River,,,,358
Chinook,2009,2009,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Sacramento River Main Stem,,,,516
Chinook,2009,2009,Fall,San Joaquin River,,In-River Count,Stanislaus River,,,,595
Chinook,2009,2009,Fall,San Joaquin River,,In-River Count,Mokelumne River,,,,680
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,055"
Chinook,2009,2009,Fall,San Joaquin River,,Hatchery,Mokelumne River,Mokelumne Hatchery,,,"1,553"
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"3,228"
Chinook,2009,2009,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Yuba River,,,,"4,635"
Chinook,2009,2009,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,American River,Nimbus Hatchery,,,"4,789"
Chinook,2009,2009,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"5,311"
Chinook,2009,2009,Fall,Sacramento River,Princeton Ferry to Sacramento,Hatchery,Feather River,Feather River Hatchery,,,"9,963"
Chinook,Nov 2008 - Apr 2009,2009,Late-Fall,Sacramento River,,In-River Count,Battle Creek,,,Upstream of CNFH,32
Chinook,Nov 2008 - Apr 2009,2009,Late-Fall,Sacramento River,,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"6,436"
Chinook,Nov 2008 - Apr 2009,2009,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"3,271"
Chinook,Nov 2008 - Apr 2009,2009,Late-Fall,Sacramento River,,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam or RBDD,Upstream of RBDD,58
Chinook,Nov 2008 - Apr 2009,2009,Late-Fall,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,63
Chinook,Nov 2008 - Apr 2009,2009,Late-Fall,Sacramento River,,In-River Count,Clear Creek,,,,336
Chinook,2009,2009,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,989
Chinook,2009,2009,Spring,Central Valley,,Carcass,Butte Creek,,,,"2,687"
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Battle Creek,,,,194
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,0
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,0
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Antelope Creek,,,,0
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,6
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Clear Creek,,,,120
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Deer Creek,,,,213
Chinook,2009,2009,Spring,Central Valley,,In-River Count,Mill Creek,,,,220
Chinook,Dec 2008 - Aug 2009,2009,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Downstream of RBDD,0
Chinook,Dec 2008 - Aug 2009,2009,Winter,Sacramento River,,In-River Count,Battle Creek,,,,0
Chinook,Dec 2008 - Aug 2009,2009,Winter,Sacramento River,,In-River Count,Sacramento River Main Stem,,,Upstream of RBDD,"4,416"
Chinook,Dec 2008 - Aug 2009,2009,Winter,San Joaquin River,,In-River Count,Calaveras River,,,,0
Chinook,Dec 2008 - Aug 2009,2009,Winter,Sacramento River,,Transfer,Sacramento River Main Stem,Livingston Stone Hatchery,Keswick Dam or RBDD,,121
Chinook,2010,2010,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"44,914"
Chinook,2010,2010,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"14,688"
Chinook,2010,2010,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,1
Chinook,2010,2010,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"17,237"
Chinook,2010,2010,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"6,631"
Chinook,2010,2010,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Mill Creek,,,,144
Chinook,2010,2010,Fall,San Joaquin River,,Hatchery,Merced River,Merced River Fish Hatchery,,,146
Chinook,2010,2010,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,166
